time_ms,Ip
-1.4994025599999998,0.0
-1.49840256,0.0
-1.49740256,0.0
-1.49640256,0.0
-1.49540256,0.0
-1.49440256,0.0
-1.49340256,0.0
-1.49240256,0.0
-1.4914025599999998,0.0
-1.49040256,0.0
-1.4894025599999998,0.0
-1.48840256,0.0
-1.48740256,0.0
-1.48640256,0.0
-1.48540256,0.0
-1.48440256,0.0
-1.4834025599999998,0.0
-1.48240256,0.0
-1.4814025599999998,0.0
-1.48040256,0.0
-1.47940256,0.0
-1.47840256,0.0
-1.47740256,0.0
-1.47640256,0.0
-1.47540256,0.0
-1.47440256,0.0
-1.4734025599999998,0.0
-1.47240256,0.0
-1.4714025599999998,0.0
-1.47040256,0.0
-1.46940256,0.0
-1.46840256,0.0
-1.46740256,0.0
-1.46640256,0.0
-1.46540256,0.0
-1.46440256,0.0
-1.4634025599999998,0.0
-1.46240256,0.0
-1.46140256,0.0
-1.46040256,0.0
-1.45940256,0.0
-1.45840256,0.0
-1.45740256,0.0
-1.45640256,0.0
-1.4554025599999998,0.0
-1.45440256,0.0
-1.4534025599999998,0.0
-1.45240256,0.0
-1.45140256,0.0
-1.45040256,0.0
-1.44940256,0.0
-1.44840256,0.0
-1.44740256,0.0
-1.44640256,0.0
-1.4454025599999998,0.0
-1.44440256,0.0
-1.44340256,0.0
-1.44240256,0.0
-1.44140256,0.0
-1.44040256,0.0
-1.43940256,0.0
-1.43840256,0.0
-1.4374025599999998,0.0
-1.43640256,0.0
-1.4354025599999998,0.0
-1.43440256,0.0
-1.43340256,0.0
-1.43240256,0.0
-1.43140256,0.0
-1.43040256,0.0
-1.42940256,0.0
-1.42840256,0.0
-1.4274025599999998,0.0
-1.42640256,0.0
-1.42540256,0.0
-1.42440256,0.0
-1.42340256,0.0
-1.42240256,0.0
-1.42140256,0.0
-1.42040256,0.0
-1.41940256,0.0
-1.41840256,0.0
-1.41740256,0.0
-1.41640256,0.0
-1.41540256,0.0
-1.41440256,0.0
-1.41340256,0.0
-1.41240256,0.0
-1.41140256,0.0
-1.41040256,0.0
-1.4094025599999995,0.0
-1.40840256,0.0
-1.40740256,0.0
